Year,Department,Budget_in_Thousands
2005,Parks,561
2006,Parks,520
2007,Parks,574
2008,Parks,607
2009,Parks,598
2010,Parks,552
2011,Parks,568
2012,Parks,636
2013,Parks,631
2014,Parks,617
2015,Parks,630
2016,Parks,596
2017,Parks,618
2018,Parks,748
2019,Parks,626
2020,Parks,712
2005,Health,321
2006,Health,336
2007,Health,337
2008,Health,365
2009,Health,272
2010,Health,328
2011,Health,353
2012,Health,355
2013,Health,316
2014,Health,371
2015,Health,305
2016,Health,334
2017,Health,436
2018,Health,378
2019,Health,412
2020,Health,494
2005,Sanitation,491
2006,Sanitation,529
2007,Sanitation,513
2008,Sanitation,529
2009,Sanitation,557
2010,Sanitation,568
2011,Sanitation,569
2012,Sanitation,615
2013,Sanitation,604
2014,Sanitation,525
2015,Sanitation,646
2016,Sanitation,583
2017,Sanitation,588
2018,Sanitation,707
2019,Sanitation,666
2020,Sanitation,634
2005,Public Works,592
2006,Public Works,636
2007,Public Works,588
2008,Public Works,575
2009,Public Works,669
2010,Public Works,586
2011,Public Works,579
2012,Public Works,602
2013,Public Works,686
2014,Public Works,669
2015,Public Works,734
2016,Public Works,657
2017,Public Works,703
2018,Public Works,679
2019,Public Works,692
2020,Public Works,784
2005,City Management,299
2006,City Management,319
2007,City Management,395
2008,City Management,350
2009,City Management,386
2010,City Management,404
2011,City Management,402
2012,City Management,395
2013,City Management,457
2014,City Management,332
2015,City Management,442
2016,City Management,424
2017,City Management,346
2018,City Management,515
2019,City Management,424
2020,City Management,471
2005,Education,278
2006,Education,302
2007,Education,373
2008,Education,351
2009,Education,354
2010,Education,336
2011,Education,383
2012,Education,389
2013,Education,397
2014,Education,335
2015,Education,438
2016,Education,440
2017,Education,464
2018,Education,503
2019,Education,404
2020,Education,526
2005,Transportation,357
2006,Transportation,340
2007,Transportation,352
2008,Transportation,342
2009,Transportation,375
2010,Transportation,475
2011,Transportation,418
2012,Transportation,457
2013,Transportation,521
2014,Transportation,404
2015,Transportation,499
2016,Transportation,574
2017,Transportation,519
2018,Transportation,545
2019,Transportation,506
2020,Transportation,601
2005,Housing,388
2006,Housing,372
2007,Housing,442
2008,Housing,413
2009,Housing,436
2010,Housing,434
2011,Housing,469
2012,Housing,502
2013,Housing,460
2014,Housing,502
2015,Housing,480
2016,Housing,440
2017,Housing,538
2018,Housing,570
2019,Housing,494
2020,Housing,562
2005,Recreation,613
2006,Recreation,617
2007,Recreation,572
2008,Recreation,555
2009,Recreation,591
2010,Recreation,615
2011,Recreation,652
2012,Recreation,624
2013,Recreation,598
2014,Recreation,706
2015,Recreation,674
2016,Recreation,719
2017,Recreation,689
2018,Recreation,630
2019,Recreation,716
2020,Recreation,716
2005,Animal Control,232
2006,Animal Control,311
2007,Animal Control,277
2008,Animal Control,243
2009,Animal Control,285
2010,Animal Control,327
2011,Animal Control,289
2012,Animal Control,389
2013,Animal Control,292
2014,Animal Control,252
2015,Animal Control,319
2016,Animal Control,398
2017,Animal Control,408
2018,Animal Control,405
2019,Animal Control,419
2020,Animal Control,477
